部門ＣＤ,現場ＣＤ,処理年月,現場名,自社固定,自社臨時,外注固定,外注臨時,物品売上,食堂売上,総売上,基本給,諸手当,臨時手当,回数１手当,回数２手当,残業手当,深夜手当,休出手当,延長手当,通勤手当,社会保険,総支給額,応援＋,応援－,日勤時間,ﾊﾟｰﾄ時間,日勤人数,ﾊﾟｰﾄ人数,材料費,旧被服費,旧監視機械費,現場旅費交通費,現場福利厚生費,現場通信費,現場雑費,旧現場雑損,現場車両費,契約外注費,臨時外注費,仕入商品,旧物品仕入商品,稼働率,現場リース料
21010,10101,202304,JICA沖縄センター,1098000,0,0,0,0,0,1098000,737440,33000,0,0,0,0,0,0,2571,0,74452,847463,0,0,328,407,2,7,27720,0,0,43565,10335,3546,0,0,0,0,0,0,0,0,0
21010,10103,202304,那覇セントラルホテル,296000,0,0,0,0,0,296000,153900,0,0,0,0,0,0,0,51300,0,8651,213851,0,0,0,240,0,2,13454,0,0,7200,0,0,0,0,0,0,0,0,0,0,0
21010,10105,202304,新垣病院,2190000,51400,0,0,0,0,2241400,1463850,30000,5000,0,0,34537,0,26570,178007,0,160276,1898240,0,-77060,191,1540,1,18,71615,0,0,82182,12650,6455,0,0,0,0,0,0,0,0,2860
21010,10107,202304,サンエーマチナトシティ,1450488,62000,0,0,0,0,1512488,858320,18000,0,0,0,77976,5814,52775,146204,0,123544,1282633,35868,-45369,212,993.5,1,8,30305,0,0,38424,9860,6455,0,0,0,0,0,0,0,0,15505
21010,10108,202304,クリニック安里,109000,0,0,0,0,0,109000,68400,0,0,0,0,0,0,0,0,0,650,69050,25395,0,0,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10111,202304,琉球銀行浦添ビル,862382,0,0,0,0,0,862382,382000,2000,0,0,0,3663,0,0,18000,0,32195,437858,0,0,171,220,1,3,27340,0,0,14557,0,0,0,0,0,0,0,0,0,0,0
21010,10115,202304,朝日生命沖縄ビル,184390,18900,0,0,0,0,203290,171000,0,0,0,0,0,0,0,34200,0,21052,226252,0,-75240,0,240,0,2,25120,0,0,18873,0,0,0,0,0,0,0,0,0,0,0
21010,10116,202304,りゅうぎん健保会館,380200,0,0,0,0,0,380200,232560,0,0,0,0,0,0,0,7695,0,2397,242652,4360,0,0,273,0,3,1800,0,0,10900,0,0,0,0,0,0,0,0,0,0,0
21010,10117,202304,那覇空港ターミナルビル,12635456,125810,0,0,0,0,12761266,6349604,70000,0,0,0,275082,212818,21453,922992,0,886571,8738520,47966,0,1276,6604.5,7,66,309860,0,0,498220,69169,19174,23510,0,9409,0,0,0,0,0,63678
21010,10119,202304,マリエールオークパイン,235000,0,0,0,0,0,235000,150480,0,0,0,0,0,0,0,10260,0,1614,162354,0,0,0,172,0,2,3320,0,0,8291,0,2864,0,0,0,0,0,0,0,0,0
21010,10121,202304,サンエーＶ２１ぎぼ食品館,187650,0,0,0,0,0,187650,106020,0,0,0,0,0,0,0,40184,0,718,146922,0,0,0,167,0,2,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
