部門ＣＤ,現場ＣＤ,処理年月,現場名,自社固定,自社臨時,外注固定,外注臨時,物品売上,食堂売上,総売上,基本給,諸手当,臨時手当,回数１手当,回数２手当,残業手当,深夜手当,休出手当,延長手当,通勤手当,社会保険,総支給額,応援＋,応援－,日勤時間,ﾊﾟｰﾄ時間,日勤人数,ﾊﾟｰﾄ人数,材料費,旧被服費,旧監視機械費,現場旅費交通費,現場福利厚生費,現場通信費,現場雑費,旧現場雑損,現場車両費,契約外注費,臨時外注費,仕入商品,旧物品仕入商品,稼働率,現場リース料
21010,10101,202404,ＪＩＣＡ沖縄センター,1051251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891282,0,0,0,0,0,0,40636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10103,202404,那覇セントラルホテル,296000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240808,0,0,0,0,0,0,16520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10105,202404,新垣病院,2440000,51400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050040,0,0,0,0,0,0,89645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10107,202404,サンエーマチナトシティ,1580260,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388729,0,0,0,0,0,0,123242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10108,202404,クリニック安里,101400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68221,0,0,0,0,0,0,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10111,202404,琉球銀行浦添ビル,941182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484623,0,0,0,0,0,0,18701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10115,202404,朝日生命那覇ビル,173900,18900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212030,0,0,0,0,0,0,12100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10116,202404,りゅうぎん健保会館,421200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302911,0,0,0,0,0,0,6743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10117,202404,那覇空港ビル,12697591,643250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10117993,0,0,0,0,0,0,454015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10119,202404,マリエールオークパイン,235000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180467,0,0,0,0,0,0,39727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10121,202404,サンエーＶ２１ぎぼ食品館,192280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10125,202404,国際物流拠点那覇地区,981000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526126,0,0,0,0,0,0,42585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10126,202404,自治会館,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514977,0,0,0,0,0,0,5877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10127,202404,コープあっぷるタウン,1144000,33500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988742,0,0,0,0,0,0,89521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10135,202404,サンエーハンビータウン,1629810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336676,0,0,0,0,0,0,50681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10137,202404,住友生命久茂地ビル,378539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384427,0,0,0,0,0,0,46916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10146,202404,琉銀坂田支店,98500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10149,202404,損保ジャパン,138260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130314,0,0,0,0,0,0,3730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10153,202404,サンエーＶ２１にしざき食品館,139840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10154,202404,ダイキン空調,79500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10155,202404,メモリアルホール紫雲閣,118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10156,202404,サンエーＶ２１たかはら食品館,139840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94866,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10159,202404,沖縄県健康づくり財団,1180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107616,0,0,0,0,0,0,24384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10162,202404,県民広場地下駐車場,179000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104899,0,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10166,202404,座波建設,79440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63696,0,0,0,0,0,0,3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10167,202404,とよみの杜,1840254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261278,0,0,0,0,0,0,40494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10169,202404,協同にじクリニック,208000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10171,202404,ぎのわんおもと園,514280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403965,0,0,0,0,0,0,12280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21010,10174,202404,とよみ生協病院,2345000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519259,0,0,0,0,0,0,182520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
